graph_id,num_nodes,num_edges,clustering_mean,avg_shortest_path,RGG_clustering_mean,RGG_clustering_std,RGG_shortest_path_mean,RGG_shortest_path_std
Blues,503,6000,0.4627823333108821,3.2282472255704726,0.6276088168319955,0.005803508785151261,5.384789137683857,0.08633222302036975
Classical,510,6000,0.45931960915241926,3.396951123683797,0.6270026892258075,0.006041215987858137,5.465797357371239,0.0916314287375277
Country,527,6000,0.47067879400894647,3.376511110615157,0.6259609497152872,0.0061323500605900624,5.655690023881501,0.0905625041389638
Disco,523,6000,0.45671636104030194,3.2329841525651357,0.6260544939047268,0.006005192392628449,5.6021754833227115,0.09414011161517402
HipHop,507,6000,0.46409454574976355,3.2927905551967944,0.6275216233302672,0.0060419519645763505,5.430971014492754,0.09109105026634512
Jazz,517,6000,0.4567310065098232,3.1312535973293425,0.6275216233302672,0.0060419519645763505,5.430971014492754,0.09109105026634512
Metal,521,6000,0.4530100087996576,3.1631335282651074,0.6275216233302672,0.0060419519645763505,5.430971014492754,0.09109105026634512
Pop,507,6000,0.47674961107296676,3.3320958083832335,0.6275216233302672,0.0060419519645763505,5.430971014492754,0.09109105026634512
Reggae,514,6000,0.46990968772089314,3.3256098330651014,0.6275216233302672,0.0060419519645763505,5.430971014492754,0.09109105026634512
Rock,524,6000,0.4359610497692023,3.455956950402649,0.6275216233302672,0.0060419519645763505,5.430971014492754,0.09109105026634512
