Graph_ID,Vis,SomMot,DorsAttn,SalVentAttn,Limbic,Cont,Default
blues,0.19586022764484243,0.2565695320167607,0.26599837921608854,0.24097431323219534,0.1592986925761684,0.24735706514407335,0.23074546807414967
classical,0.21266009554611767,0.24154489173066723,0.2533906019879662,0.2257377590259802,0.1966694026246854,0.23290509062011466,0.23977865058183492
country,0.21577680850186148,0.2668341506604639,0.27719045775711043,0.2536193969954844,0.18822788863268478,0.24045575518239512,0.26039823067232076
disco,0.20677268115962869,0.2781670664369046,0.2675040899362169,0.25653281211272705,0.20131708446318924,0.2542288799536976,0.2556551897058604
hiphop,0.19070781706655254,0.2502011224775885,0.255630987478734,0.2299181400353833,0.1862065193587989,0.23537508653056236,0.23069729776877101
jazz,0.20138553925960806,0.2825289339263269,0.2753977866754787,0.26058836701926774,0.22331240800506744,0.2719302607737155,0.2621290866183673
metal,0.2132892895282946,0.291279100703784,0.2563491554484763,0.26820578246702237,0.21162094404230286,0.2573469790087836,0.2685898990972726
null,0.2739590949979813,0.34527407668917653,0.34386490179629875,0.31530443604561054,0.2673474592860619,0.332055732308441,0.3157788871842565
pop,0.1933913084292294,0.253789626131709,0.2377397706886637,0.23018985418581012,0.21188139694672284,0.24559164674973488,0.23928891444729536
reggae,0.22462783566786093,0.2531555202378794,0.2547985338138316,0.24339410653770616,0.15198385638208184,0.24463425271794761,0.25161237345929344
rock,0.21604778986504747,0.2508713526674934,0.25795517014059605,0.23800164741482988,0.20860211987565544,0.2300648504567343,0.25587799135133854
